,JobId,EngineeringSoldkWSize,EngineeringSoldAnnualkWh,EnergyConsumption,Region,State,Zip,AHJ,RoofType,RoofSqFoot,NumMountingPlanes,NumPanels,Utility,ProductTypeAlt,PowerwallCount,UtilityCostPerKWh,OldBill,UtilityRatePlanId,UtilityInflationRate,GasRatePlanID,AverageShading,NumStories,Status
38930,JB-911957-00,5.85,8100.7407,13135.0,SoCal and HI,CA,91108,San Marino,Rolled Roofing / Torchdown / Bitumen,2795.0,3,18,Southern California Edison,PV+Storage,1.0,0.192734,261.4129,998504421.0,0.028999999999999998,90.0,0.18833333300000002,,0
38931,JB-9102256-00,4.8,7019.9194,6992.0,SoCal and HI,CA,91006,Arcadia,Comp Shingle Roof,4767.0,1,16,Southern California Edison,PV Only,,0.209223,172.3562,200.0,0.028999999999999998,90.0,0.07,One Story,0
38932,JB-9102249-00,3.0,4988.0772,7151.0,SoCal and HI,CA,91010,Duarte,Comp Shingle Roof,1566.0,1,10,Southern California Edison,PV Only,,0.212763,177.2379,200.0,0.028999999999999998,90.0,0.0,One Story,0
38933,JB-9026060-00,1.8,2855.7266,2911.0,SoCal and HI,CA,90249,Gardena,Comp Shingle Roof,1873.0,1,6,Southern California Edison,PV Only,,0.17386,92.1442,200.0,0.028999999999999998,90.0,0.0,,0
38934,JB-90011494-00,3.3,4725.0475,5540.0,SoCal and HI,CA,90003,Los Angeles,Comp Shingle Roof,2224.0,2,11,Los Angeles Department of Water & Power,PV Only,,0.181705,136.7387,100.0,0.028999999999999998,90.0,0.02,,0
38935,JB-8712054-00,8.1,13516.226999999999,13225.0,Southwest,NM,87120,Albuquerque,Round Tile,2116.0,1,27,PNM,PV Only,,0.145673,214.9969,60000.0,0.048,49601.0,0.0,,0
38936,JB-8712035-00,6.3,10338.3095,11417.0,Southwest,NM,87114,Albuquerque,Round Tile,2295.0,2,21,PNM,PV Only,,0.143827,191.2927,60000.0,0.048,49601.0,0.00952381,,0
38937,JB-8633678-00,3.0,5326.4475,5862.0,Southwest,AZ,86327,Yavapai County,Comp Shingle Roof,3422.0,1,10,Arizona Public Service Company,PV Only,,0.16156900000000002,137.2461,10002.0,0.035,10800.0,0.03,,0
38938,JB-8633620-00,6.175,11578.1729,11917.0,Southwest,AZ,86305,Yavapai County,Flat Tile,5748.0,2,19,Arizona Public Service Company,PV Only,,0.161424,218.627,10000.0,0.035,10800.0,0.018947368,,0
38939,JB-85713358-00,11.1,17287.3906,19785.0,Southwest,AZ,85742,Marana,Flat Tile,2726.0,2,37,Tucson Electric Power,PV Only,,0.13628099999999999,282.6136,10304.0,0.035,10800.0,0.0,,0
38940,JB-85710678-00,20.15,33293.4735,50220.0,Southwest,AZ,85718,Pima County,Rolled Roofing / Torchdown / Bitumen,5312.0,3,62,Tucson Electric Power,PV Only,,0.134656,621.4533,10304.0,0.035,10800.0,0.012258065,,0
38941,JB-85325686-00,8.1,13466.8085,22010.0,Southwest,AZ,85383,Peoria,Round Tile,4379.0,2,27,Arizona Public Service Company,PV Only,,0.130544,297.6258,10002.0,0.035,10800.0,0.01,,0
38942,JB-85325653-00,3.3,6072.7471,10154.0,Southwest,AZ,85326,Buckeye,Flat Tile,2787.0,1,11,Arizona Public Service Company,PV Only,,0.161119,194.6264,10002.0,0.035,10800.0,0.0,,0
38943,JB-85325629-00,12.0,18771.6305,18743.0,Southwest,AZ,85379,Surprise,Round Tile,3475.0,1,40,Arizona Public Service Company,PV Only,,0.13376400000000002,267.3271,10000.0,0.035,10800.0,0.01,,0
38944,JB-85325480-00,7.2,11162.9525,11727.0,Southwest,AZ,85383,Peoria,Round Tile,5134.0,1,24,Arizona Public Service Company,PV Only,,0.158065,212.6556,10000.0,0.035,10800.0,0.0,,0
38945,JB-85325374-00,12.0,22586.9326,24111.0,Southwest,AZ,85310,Phoenix,Flat Tile,3520.0,1,40,Arizona Public Service Company,PV Only,,0.159157,384.0718,10000.0,0.035,10500.0,0.0,,0
38946,JB-85325272-00,6.5,11557.6466,12130.0,Southwest,AZ,85396,Maricopa County,Comp Shingle Roof,3801.0,1,20,Arizona Public Service Company,PV Only,,0.18799000000000002,248.3194,10000.0,0.035,10800.0,0.0,,0
38947,JB-85325267-00,6.175,11548.5831,10793.0,Southwest,AZ,85381,Peoria,Round Tile,2865.0,1,19,Arizona Public Service Company,PV Only,,0.165568,148.9145,10000.0,0.035,40003.0,0.04,,0
38948,JB-85325230-00,9.9,16897.2102,27260.0,Southwest,AZ,85383,Peoria,Round Tile,4132.0,2,33,Arizona Public Service Company,PV Only,,0.134626,378.1949,10001.0,0.035,10800.0,0.0,One Story,0
